row_id,weekday,hour,solar_radiation,wind_speed,max_temp,min_temp,pressure,min_pressure,max_pressure,pollutants
1,Saturday,21,0.01,0.3,14.9,5.8,747.0,743.0,750.0,44.0836225644
2,Saturday,22,0.01,0.55,14.9,5.8,747.0,743.0,750.0,51.1131596337
3,Saturday,23,0.01,1.0,14.9,5.8,747.0,743.0,750.0,52.4121374449
4,Sunday,0,0.01,0.7,14.0,4.8,751.0,748.0,754.0,45.0527382593
5,Sunday,1,0.01,0.25,14.0,4.8,751.0,748.0,754.0,45.8983040371
6,Sunday,2,0.01,0.65,14.0,4.8,751.0,748.0,754.0,48.7746273996
7,Sunday,3,0.01,0.45,14.0,4.8,751.0,748.0,754.0,36.4700575643
8,Sunday,4,0.01,1.15,14.0,4.8,751.0,748.0,754.0,32.7349049692
9,Sunday,5,0.01,0.7,14.0,4.8,751.0,748.0,754.0,32.0517849664
10,Sunday,6,0.05,1.7,14.0,4.8,751.0,748.0,754.0,26.1971776853
11,Sunday,7,0.19,2.1,14.0,4.8,751.0,748.0,754.0,24.9613580101
12,Sunday,8,0.58,2.85,14.0,4.8,751.0,748.0,754.0,25.0154997524
13,Sunday,9,0.74,3.05,14.0,4.8,751.0,748.0,754.0,24.2679942646
14,Sunday,10,0.92,3.3,14.0,4.8,751.0,748.0,754.0,23.3633224202
15,Sunday,11,0.99,3.45,14.0,4.8,751.0,748.0,754.0,24.4739125801
16,Sunday,12,0.97,4.05,14.0,4.8,751.0,748.0,754.0,23.5559778453
17,Sunday,13,0.87,3.95,14.0,4.8,751.0,748.0,754.0,23.0092250761
18,Sunday,14,0.7,4.1,14.0,4.8,751.0,748.0,754.0,22.3547091644
19,Sunday,15,0.46,4.35,14.0,4.8,751.0,748.0,754.0,22.1419741348
20,Sunday,16,0.21,4.0,14.0,4.8,751.0,748.0,754.0,21.8479091926
21,Sunday,17,0.02,3.65,14.0,4.8,751.0,748.0,754.0,22.5476658665
22,Sunday,18,0.01,3.2,14.0,4.8,751.0,748.0,754.0,22.0971859433
23,Sunday,19,0.01,2.4,14.0,4.8,751.0,748.0,754.0,22.6626095416
24,Sunday,20,0.01,2.25,14.0,4.8,751.0,748.0,754.0,22.4477561395
25,Sunday,21,0.01,1.65,14.0,4.8,751.0,748.0,754.0,19.6063236929
26,Sunday,22,0.01,1.75,14.0,4.8,751.0,748.0,754.0,20.0763956403
27,Sunday,23,0.01,1.65,14.0,4.8,751.0,748.0,754.0,20.4893365931
28,Monday,0,0.01,1.65,18.1,3.5,751.0,741.0,766.0,21.4503238703
29,Monday,1,0.01,0.6,18.1,3.5,751.0,741.0,766.0,19.3112599035
30,Monday,2,0.01,1.8,18.1,3.5,751.0,741.0,766.0,18.6830897432
31,Monday,3,0.01,2.0,18.1,3.5,751.0,741.0,766.0,20.7195822951
32,Monday,4,0.01,2.5,18.1,3.5,751.0,741.0,766.0,24.6392357566
33,Monday,5,0.01,2.45,18.1,3.5,751.0,741.0,766.0,28.1073082954
34,Monday,6,0.05,1.35,18.1,3.5,751.0,741.0,766.0,41.438708039
35,Monday,7,0.31,3.05,18.1,3.5,751.0,741.0,766.0,48.0554242769
36,Monday,8,0.58,3.5,18.1,3.5,751.0,741.0,766.0,49.8975108105
37,Monday,9,0.79,4.1,18.1,3.5,751.0,741.0,766.0,37.3570047061
38,Monday,10,0.93,5.15,18.1,3.5,751.0,741.0,766.0,35.4699179087
39,Monday,11,1,4.85,18.1,3.5,751.0,741.0,766.0,29.4393639244
40,Monday,12,0.98,4.55,18.1,3.5,751.0,741.0,766.0,28.2641228912
41,Monday,13,0.88,3.6,18.1,3.5,751.0,741.0,766.0,27.0649153585
42,Monday,14,0.7,3.25,18.1,3.5,751.0,741.0,766.0,28.5236604051
43,Monday,15,0.46,3.35,18.1,3.5,751.0,741.0,766.0,31.3429325018
44,Monday,16,0.21,3.3,18.1,3.5,751.0,741.0,766.0,32.5229357457
45,Monday,17,0.01,2.3,18.1,3.5,751.0,741.0,766.0,29.8202761675
46,Monday,18,0.01,2.45,18.1,3.5,751.0,741.0,766.0,28.0558236761
47,Monday,19,0.01,2.15,18.1,3.5,751.0,741.0,766.0,29.2349462404
48,Monday,20,0.01,1.95,18.1,3.5,751.0,741.0,766.0,27.7204658969
49,Monday,21,0.01,0.8,18.1,3.5,751.0,741.0,766.0,32.581157079
50,Monday,22,0.01,0.65,18.1,3.5,751.0,741.0,766.0,34.009814646
51,Monday,23,0.01,0.75,18.1,3.5,751.0,741.0,766.0,33.4746698942
52,Tuesday,0,0.01,0.85,27.5,9.4,751.0,749.0,752.0,29.0117833951
53,Tuesday,1,0.01,1.4,27.5,9.4,751.0,749.0,752.0,30.4556992812
54,Tuesday,2,0.01,1.4,27.5,9.4,751.0,749.0,752.0,31.0065869851
55,Tuesday,3,0.01,1.65,27.5,9.4,751.0,749.0,752.0,31.0987459614
56,Tuesday,4,0.01,1.25,27.5,9.4,751.0,749.0,752.0,30.667757025
57,Tuesday,5,0.01,1.35,27.5,9.4,751.0,749.0,752.0,30.5863778091
58,Tuesday,6,0.05,2.4,27.5,9.4,751.0,749.0,752.0,34.6010932011
59,Tuesday,7,0.28,3.6,27.5,9.4,751.0,749.0,752.0,36.5434599703
60,Tuesday,8,0.51,4.9,27.5,9.4,751.0,749.0,752.0,37.0247215153
61,Tuesday,9,0.73,4.75,27.5,9.4,751.0,749.0,752.0,37.2314139384
62,Tuesday,10,0.88,4.95,27.5,9.4,751.0,749.0,752.0,42.2808290334
63,Tuesday,11,0.95,5.6,27.5,9.4,751.0,749.0,752.0,39.5172823947
64,Tuesday,12,0.93,6.4,27.5,9.4,751.0,749.0,752.0,39.0284812386
65,Tuesday,13,0.84,6.7,27.5,9.4,751.0,749.0,752.0,36.4927942871
66,Tuesday,14,0.67,6.75,27.5,9.4,751.0,749.0,752.0,36.4403830586
67,Tuesday,15,0.44,6.65,27.5,9.4,751.0,749.0,752.0,35.7309075469
68,Tuesday,16,0.19,4.8,27.5,9.4,751.0,749.0,752.0,32.2537924327
69,Tuesday,17,0.01,2.65,27.5,9.4,751.0,749.0,752.0,28.884714398
70,Tuesday,18,0.01,2.4,27.5,9.4,751.0,749.0,752.0,33.2372152968
71,Tuesday,19,0.01,2.25,27.5,9.4,751.0,749.0,752.0,30.7292849427
72,Tuesday,20,0.01,2.5,27.5,9.4,751.0,749.0,752.0,30.800112362
